Ref,Val,Package,PosX,PosY,Rot,Side
"SW45","SW_Push","SW_MX_HS_1u",245.175564,73.761376,0.000000,bottom
"SW46","SW_Push","SW_MX_HS_1u",226.125564,79.261376,0.000000,bottom
"SW47","SW_Push","SW_MX_HS_1u",207.075564,73.761376,0.000000,bottom
"SW48","SW_Push","SW_MX_HS_1u",188.025564,71.261376,0.000000,bottom
"SW50","SW_Push","SW_MX_HS_1u",264.225564,42.711376,0.000000,bottom
"SW51","SW_Push","SW_MX_HS_1u",245.175564,54.711376,0.000000,bottom
"SW52","SW_Push","SW_MX_HS_1u",226.125564,60.211376,0.000000,bottom
"SW53","SW_Push","SW_MX_HS_1u",207.075564,54.711376,0.000000,bottom
"SW54","SW_Push","SW_MX_HS_1u",188.025564,52.211376,0.000000,bottom
"SW55","SW_Push","SW_MX_HS_1u",245.175564,35.661376,0.000000,bottom
"SW56","SW_Push","SW_MX_HS_1u",226.125564,41.161376,0.000000,bottom
"SW57","SW_Push","SW_MX_HS_1u",207.075564,35.661376,0.000000,bottom
"SW58","SW_Push","SW_MX_HS_1.5u",167.266036,23.547724,-68.000000,bottom
"SW59","SW_Push","SW_MX_HS_1.5u",187.116036,25.684024,-68.000000,bottom
"SW60","RotaryEncoder_Switch","EC11_Rotary_Encoder",162.513600,52.220000,90.000000,bottom
"U1","Pico","RPi_Pico_SMD_TH",132.593600,92.225000,180.000000,bottom
"U2","SN74AHCT1G125","SN74AHCT1G125",124.082808,10.396261,180.000000,bottom
"U3","Pico","RPi_Pico_SMD_TH",164.280800,92.225000,180.000000,bottom
"U4","SN74AHCT1G125","SN74AHCT1G125",172.618227,10.300585,0.000000,bottom
